id,title,regions,modes,scene,political_hook,choice,effects,outcome,source
beltway_briefing,Department of Renaming Things,Beltway,deep / deep_end,enc-service-counter,names,Read everything; use a snack pack,"{""sanity"": -2, ""credibility"": 2, ""supplies"": -1, ""add_receipt"": ""beltway_briefing""}","Snacks gone, instructions matched and saved. You've traced the hall all the way across the street.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
beltway_briefing,Department of Renaming Things,Beltway,deep / deep_end,enc-service-counter,names,Skim the bold print,"{""sanity"": 1, ""credibility"": -2}",Two corrections missed. You confidently prepare to visit the building formerly known as the building.,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
beltway_briefing,Department of Renaming Things,Beltway,deep / deep_end,enc-service-counter,names,Split the packet six ways,"{""sanity"": 0, ""credibility"": -1}","You miss a cross-reference. Six people, six answers. The form has successfully created a committee.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
classic_bridge_crews,The Efficiency Emergency,RustBelt / Beltway,classic,enc-bridge,bullets,Donate one pack; haul barrier signs,"{""supplies"": -1, ""hp"": -1, ""credibility"": 2}","Supplies donated, arms aching. You haul the signs without once calling yourselves job creators.",https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
classic_bridge_crews,The Efficiency Emergency,RustBelt / Beltway,classic,enc-bridge,bullets,Photograph and report the closure,"{""credibility"": 1, ""add_receipt"": ""classic_bridge_crews""}",You file the dated photo. It shows exactly how much traffic “efficiency” can carry: none.,https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
classic_civic_potluck,Civic Center Potluck,Heartland,classic,enc-community,food,Stay; pack three food bundles,"{""supplies"": 3, ""sanity"": 1}",You eat and pack three bundles. Somebody offers seconds without checking whether you're a corporation.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_civic_potluck,Civic Center Potluck,Heartland,classic,enc-community,food,Pack two bundles; share their story,"{""supplies"": 2, ""credibility"": 1}",You promise to mention the cooks in Washington. They label the leftovers 'evidence.',https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_civic_potluck,Civic Center Potluck,Heartland,classic,enc-community,food,Donate one food bundle,"{""supplies"": -1, ""credibility"": 2}",Your beans join the pantry. The cook offers naming rights to one very unimpressed potato.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_crossing_block_party,Crossing Block Party,RustBelt / Beltway,classic,enc-checkpoint,libraries,Give one food bundle; help grill,"{""supplies"": -1, ""morale"": 2}",You grill while a librarian reads horror aloud. The horror is next year's budget.,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
classic_crossing_block_party,Crossing Block Party,RustBelt / Beltway,classic,enc-checkpoint,libraries,Take the open mic,"{""credibility"": 1}",'I shouldn't need a muffin mortgage to sit down.' The café workers in line howl.,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
