REPAIR-ALTERNATOR-A|Genera un poco de electricidad|Falla el alternador. La oferta promocional de Grok de la GSA daba a las agencias dieciocho meses por cuarenta y dos centavos. Una mecánica por radio no ofrece esa tarifa. «Pídele que genere electricidad», dice.|Instalas el repuesto. Suministra energía sin empezar por darte toda la razón.|El taller instala un recambio. El precio incluye un objeto real que gira.|Cambias provisiones por un alternador usado y lo instalas. La electricidad sigue obstinadamente ligada al hardware.|Terminas el trabajo acordado e instalas el alternador usado. El taller acepta trabajo en lugar de una instrucción redactada de maravilla.|Llega el recambio. Lo instalas; la respuesta llega ahora por los cables de la batería.
REPAIR-ALTERNATOR-B|No es un teléfono enorme|Falla el alternador mientras lees sobre la ley de reparación de aparatos electrónicos de Oregón. Los vehículos de motor quedan excluidos. La furgoneta ha descubierto la categoría en la que no puede hacerse pasar por un teléfono enorme.|Instalas el repuesto. La reparación necesita tornillos, no una discusión sobre qué cuenta como teléfono.|El taller instala un recambio. La furgoneta vuelve a llamar solo cuando algo traquetea.|Cambias provisiones por un alternador usado y lo instalas. El intercambio funciona sin aplicación.|Terminas el trabajo acordado e instalas un alternador usado. La tripulación sigue siendo el componente menos descargable de la furgoneta.|Llega el recambio. Lo instalas; el capó sigue siendo una pésima pantalla táctil.
REPAIR-ALTERNATOR-C|Jubilación anticipada|El alternador lo deja. Una mecánica menciona que Illinois subió el salario mínimo adulto a 15 dólares en 2025. Preguntas cuánto gana la pieza. «Lo suficiente para jubilarse antes que cualquiera de nosotros, por lo visto».|Instalas el repuesto de a bordo. Se aprueba la jubilación de la pieza vieja y se aplaza la de quienes sostienen una llave inglesa.|El taller instala un recambio. El alternador nuevo hereda inmediatamente el turno entero.|Cambias provisiones por un alternador usado y lo instalas. Su experiencia previa es la cualificación útil.|Terminas el trabajo acordado e instalas la pieza usada. Solo el alternador puede fichar su salida definitiva.|Entregan el recambio. Lo instalas; la pieza jubilada se niega a supervisar.
REPAIR-BATTERY-A|Cinco logros, cero voltios|La batería muere. Inspirándose en DOGE, alguien de la tripulación le pide que enumere cinco logros. Ha alimentado cada salida. La dirección pregunta qué ha hecho hoy.|Instalas la batería de repuesto. Su primer logro es conseguir que el salpicadero deje de ser un espejo.|El taller instala un recambio. Apruebas la electricidad sin contratar a un multimillonario para investigarla.|Cambias provisiones por una batería usada y la instalas. La experiencia sobrevive a otra iniciativa de eficiencia.|Terminas el trabajo acordado e instalas una batería usada. La evaluación de productividad de cuatro horas incluye productividad real.|Entregan e instalan el recambio. Quien conduce ha conseguido algo visible antes de enviar un correo.
REPAIR-BATTERY-B|Dominio energético, no disponible aquí|La batería muere a mitad del discurso de Trump sobre el «dominio energético estadounidense». El lema termina en tu teléfono. La abundancia nacional tiene una cobertura pésima.|Instalas la batería de repuesto. La furgoneta alcanza el objetivo político radical de arrancar.|El taller instala el recambio. El dominio energético llega con una factura a tu nombre.|Cambias provisiones por una batería usada y la instalas. Nadie dice «dominio». El motor arranca igualmente.|El trabajo acordado paga una batería usada y su reparación. Tus brazos aportan la política energética.|Entregan e instalan la batería. Quien conduce lleva más energía utilizable que todo el discurso.
REPAIR-BATTERY-C|La candidatura cualificada|Falla la batería. La radio culpa de otro problema a la diversidad, la equidad y la inclusión. Bajo el capó, los bornes positivo y negativo llevan años trabajando juntos. Ninguno hará declaraciones.|Instalas el repuesto. Positivo y negativo retoman su acuerdo sospechosamente inclusivo.|El taller instala el recambio. Nadie pregunta al voltaje por sus afiliaciones políticas.|Cambias provisiones por una batería usada y la instalas. La furgoneta elige su candidatura arrancando.|Terminas el trabajo acordado e instalas una batería usada. Resulta que la competencia consiste en conectar cosas.|Llega el recambio y se instala. Quien conduce conecta ambos bornes pese a las preocupaciones de la radio.
REPAIR-FUELPUMP-A|Permiso de temporada|Falla la bomba de combustible. Oyes hablar de las exenciones temporales de verano de la EPA para el E15: el gobierno permitió a ciertos combustibles avanzar por el calendario. Tu problema es que el combustible recorra los últimos metros.|Instalas la bomba de repuesto. El combustible llega al motor sin esperar una fecha nueva.|El taller instala un recambio. Resulta que el obstáculo requería una bomba, no otra prórroga.|Cambias provisiones por una bomba usada y la instalas. El combustible que ya tenías consigue por fin un viaje útil.|Terminas el trabajo acordado e instalas la bomba usada. Tus brazos despejan el tramo que la exención nunca reguló.|Entregan el recambio. Lo instalas y restableces la ruta dentro de la furgoneta.
REPAIR-FUELPUMP-B|Más rápido que esta frase|La bomba de combustible se para mientras la radio recuerda el impulso de Trump al vuelo supersónico sobre tierra. Te conformarías con viajar más rápido que esta frase.|Instalas la bomba de repuesto. El motor hace un sonido detrás del que ya puedes viajar.|El taller instala un recambio. La velocidad normal ha adquirido el glamour de un servicio de lujo.|Cambias provisiones por una bomba usada y la instalas. La furgoneta se reincorpora a la mayoría subsónica.|Terminas el trabajo acordado e instalas la bomba usada. Cuatro horas de esfuerzo compran la posibilidad de moverse.|Llega el recambio. Lo instalas; hacia delante vuelve a ser una dirección disponible.
REPAIR-FUELPUMP-C|La garantía está encantada|Falla la bomba de combustible. Una voz sintética no solicitada llama sobre una garantía. La FCC dice que las voces comerciales de IA están sujetas a normas de consentimiento. Suena encantada de todos modos. Por fin alguien disfruta de la avería.|Instalas la bomba de repuesto. La voz alegre no aporta nada y se desconecta.|El taller instala un recambio. La voz menos entusiasta de la mecánica resulta venir con manos útiles.|Cambias provisiones por una bomba usada y la instalas. Nadie necesita tu entusiasta confirmación verbal.|Terminas el trabajo acordado e instalas la bomba usada. La voz comercial ha prometido más y levantado menos.|Entregan la bomba. La instalas; la voz de las garantías puede seguir hablando de una imaginaria.
REPAIR-TIRE-A|Los últimos centímetros|Falla el neumático. El taladro lunar de la NASA llegó a la Luna, pero no al suelo. Estudias la llanta contra la carretera. Tu programa más barato ha desarrollado el problema opuesto.|Instalas el repuesto. Se restablece la distancia necesaria entre el metal y el planeta.|El taller instala un recambio. La rueda deja de intentar perforar la Tierra.|Cambias provisiones por un neumático usado y lo instalas. Un trozo de goma con visitas previas resulta útil.|Terminas el trabajo acordado e instalas el neumático usado. Llegar a la carretera incluye ahora una forma de rodar por ella.|Entregan el neumático de recambio. Lo instalas y pones fin a la investigación de campo de la llanta.
REPAIR-TIRE-B|El precio de quedarse corto|El neumático se raja mientras la radio cuenta que el Congreso derogó la nueva norma sobre descubiertos de los grandes bancos. Revisas el presupuesto de reparación. Por lo visto, quedarse sin dinero puede costar más. El neumático es lo único que pierde en silencio.|Instalas el repuesto. El banco pierde una emocionante oportunidad de ingresos.|El taller instala el recambio. Pagas el precio de un neumático funcional antes de que se reproduzca.|Cambias provisiones por un neumático usado y lo instalas. La bolsa de comida no cobra comisiones por descubierto.|Terminas el trabajo acordado e instalas el neumático usado. La falta de dinero se paga en horas en vez de multiplicarse en un extracto.|Llega el recambio. Lo instalas; al menos el aire viene incluido.
