unit_id,family_id,variant,category,mode,runtime_key,scope,in_content_release,source_scene_id,scene_direction,overlay_count,asset_mapping_status
ACT-BARTERBATTERY-A,ACT-BARTERBATTERY,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-barterbattery-a-scene,Resident holds a replacement battery beside a small grocery bundle; a radio sits nearby.,0,needs_art_catalog_mapping
ACT-BARTERBATTERY-B,ACT-BARTERBATTERY,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-barterbattery-b-scene,"Exchange table holds a plain battery, groceries and an unopened printed shop quote.",0,needs_art_catalog_mapping
ACT-BARTERBATTERY-C,ACT-BARTERBATTERY,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-barterbattery-c-scene,Resident taps a real battery while an unlettered radio display glows beside empty political leaflets.,0,needs_art_catalog_mapping
ACT-BARTERSUPPLIES-A,ACT-BARTERSUPPLIES,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-bartersupplies-a-scene,Resident sets plain groceries opposite an intact spare; no money or goods have changed hands yet.,0,needs_art_catalog_mapping
ACT-BARTERSUPPLIES-B,ACT-BARTERSUPPLIES,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-bartersupplies-b-scene,Two travelers and a local regard a tire and groceries arranged like a modest negotiating table.,0,needs_art_catalog_mapping
ACT-BARTERSUPPLIES-C,ACT-BARTERSUPPLIES,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-bartersupplies-c-scene,"Simple swap table in front of a radio; groceries are unmistakably practical, the spare visibly intact.",0,needs_art_catalog_mapping
ACT-BARTERTIRE-A,ACT-BARTERTIRE,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-bartertire-a-scene,Resident presents an intact spare beside a modest grocery bundle and an ordinary radio.,0,needs_art_catalog_mapping
ACT-BARTERTIRE-B,ACT-BARTERTIRE,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-bartertire-b-scene,Two ordinary people compare an intact tire and plain groceries across a community swap table.,0,needs_art_catalog_mapping
ACT-BARTERTIRE-C,ACT-BARTERTIRE,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-bartertire-c-scene,A spare tire lies flat on a swap table like an oddly practical conference table.,0,needs_art_catalog_mapping
ACT-CASHWORK-A,ACT-CASHWORK,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-cashwork-a-scene,Owner gestures to an empty tip jar beside dishes waiting to be cleared; travelers are still considering the job.,0,needs_art_catalog_mapping
ACT-CASHWORK-B,ACT-CASHWORK,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-cashwork-b-scene,Large blank banner and stage crates await lifting while a wealthy donor rehearses near an assembled podium.,0,needs_art_catalog_mapping
ACT-CASHWORK-C,ACT-CASHWORK,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-cashwork-c-scene,Delivery truck waits by a damaged access road; shop owner offers work beside untouched crates.,0,needs_art_catalog_mapping
ACT-FOODWORK-A,ACT-FOODWORK,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-foodwork-a-scene,Pantry coordinator offers a sorting station beside clearly separated incoming donations and outgoing groceries.,0,needs_art_catalog_mapping
ACT-FOODWORK-B,ACT-FOODWORK,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-foodwork-b-scene,Kitchen worker stands between untouched catered trays and plain takeaway containers; travelers have not started work.,0,needs_art_catalog_mapping
ACT-FOODWORK-C,ACT-FOODWORK,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-foodwork-c-scene,Volunteer displays an empty cash drawer beside a sorting bench and plain grocery invoices.,0,needs_art_catalog_mapping
ACT-FORAGE-A,ACT-FORAGE,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-forage-a-scene,Guide points out familiar edible berries to current travelers; a blank phone form sits unused beside a basket.,0,needs_art_catalog_mapping
ACT-FORAGE-B,ACT-FORAGE,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-forage-b-scene,Former public botanist shows travelers two clearly different plants without a harvesting tutorial or readable labels.,0,needs_art_catalog_mapping
ACT-FORAGE-C,ACT-FORAGE,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-forage-c-scene,"Ordinary travelers gather with a guide while a distant, elegant catered reception is glimpsed beyond a venue fence.",0,needs_art_catalog_mapping
ACT-GLEAN-A,ACT-GLEAN,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-glean-a-scene,Farmer holds a blank machinery invoice beside a tractor while travelers consider a row of leftover produce.,0,needs_art_catalog_mapping
ACT-GLEAN-B,ACT-GLEAN,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-glean-b-scene,Farmer gestures to unharvested produce beside an ordinary radio and an unlettered benefits notice.,0,needs_art_catalog_mapping
ACT-GLEAN-C,ACT-GLEAN,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-glean-c-scene,One conspicuously bent carrot sits atop a crate beside a row the crew may glean.,0,needs_art_catalog_mapping
ACT-REST-A,ACT-REST,A,"Gathering, work, barter, and rest",Shared,,compatible_narrative,true,act-rest-a-scene,Current crew rests in or beside the parked van; one traveler holds the keys while a muted radio sits aside.,0,needs_art_catalog_mapping
ACT-REST-B,ACT-REST,B,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-rest-b-scene,Travelers settle at a modest rest stop while a blank radio display shows a distant donor broadcast through a separate overlay.,0,needs_art_catalog_mapping
ACT-REST-C,ACT-REST,C,"Gathering, work, barter, and rest",Shared,,compatible_narrative,false,act-rest-c-scene,Phones face down beside wrapped food while current crew rests by the van; no content embedded on screens.,0,needs_art_catalog_mapping
